t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
1,1,MS,2,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000000,1.93603872,0.00000000,1.67842560,0.48749651,5.04080375,0.08023525,0.00000000,0.00000000,0.00002420,NA,NA,0.00000000,0.00000000,0.00014631,0.10508202,0.00000000,0.00000000,0.00000000,0.00000029,2.81467612,0.00000000,0.00000000,26.87962660,0.00000000,0.00000000,5.84000000,0.00330000,160.48097587,1.50909477,NA,0.48041331,0.00000000,0.00000000,0.00024107,0.00000000,NA,False,False,0.09200000,0.00483764,4885.93175850,0.00483764,1.00000000,0.00000000,23.64196040,0,0.00000000,0.00000000,17.58618202,0.10522833,0.00000000,0.00255729
1,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.29827121,3.37984920,0.00000000,0.58163264,0.03531395,2.36586514,0.03084455,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00003237,0.01850833,0.00000000,0.00000000,0.00000000,0.00000028,1.87583076,0.00000000,0.00000000,4.97209463,0.00000000,0.00000000,5.84000000,NA,160.48097587,0.33470049,NA,0.07846261,0.00000000,6.70164970,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.82310843,0,0.00000000,0.00000000,7.59658351,0.01854069,0.00000000,0.00300000
1,1,MS,2,sheath,StemElement,1.52587101,0.00056893,1.94259697,0.00000000,3.24545648,15.00548231,0.61703314,0.00159200,0.02902478,0.03084455,0.00064434,0.00000000,0.00000020,106.79489533,NA,0.02588579,0.00063790,0.00000001,0.00031220,0.01364792,0.00000000,16.10862156,0.00000062,1.75411074,41.35288953,552.31128357,0.08664588,0.34678060,0.00000163,7.73242504,NA,160.48097587,0.00528938,NA,0.00146032,0.00008449,0.00000000,0.00000471,0.19681706,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000138,0.06707079,0,0.00000000,0.00133174,0.08561590,0.00095011,0.00000369,0.00300000
1,1,MS,3,blade,LeafElement1,14.00520383,0.07443002,13.87844051,0.00000006,1.66065095,79.21074961,1.88902254,0.09554989,5.29511549,NA,0.08429671,0.00000000,0.00002090,357.10080324,NA,9.26059005,0.08345374,0.00013251,0.10141322,0.12676332,0.00000000,20.21111185,0.00000010,1.34882813,218.34634338,1934.88647756,24.30968777,1.16396906,0.00021379,10.66295693,0.00400000,80.48097587,0.37791205,NA,0.46616178,0.01105365,0.00000006,0.00018367,0.39920402,0.05149685,True,False,0.06391294,0.00417081,0.00000000,0.00417081,1.00000000,0.00007921,22.43891858,0,0.00000000,0.73301847,7.00551214,0.18499947,0.00207074,0.00288350
1,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24891216,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001008,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
1,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24891216,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005042,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
2,1,MS,1,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000001,2.22982669,0.00000000,1.29865835,0.16620299,1.45468237,0.06662234,0.00000000,0.00000000,0.00002050,290.40009326,NA,0.00000000,0.00000000,0.00003584,0.07091136,0.00000000,0.00000002,0.00000000,0.00000612,2.22538791,0.00000000,0.00000000,19.31286277,0.00000000,0.00000000,6.26400000,0.00300000,240.69615137,0.91013443,NA,0.33785119,0.00000000,0.00000001,0.00019533,0.00000000,NA,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,16.93844262,0,0.00000000,0.00000000,12.03454356,0.07094720,0.00000000,0.00232481
2,1,MS,1,sheath,StemElement,0.96057715,0.02938266,1.22363361,0.00000000,2.58328639,18.78979881,0.47237831,0.04483870,0.97985053,0.02380272,0.03510148,0.00000000,0.00000855,119.55371575,NA,0.92886102,0.03475052,0.00001005,0.01191987,0.00787556,0.00000000,20.52721552,0.00000149,1.94882873,32.51210508,442.53124086,2.92964652,0.32993342,0.00008862,7.80857446,NA,240.69615137,0.29893826,NA,0.05117012,0.00459043,0.00000000,0.00026861,0.18028692,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00009113,2.01999397,0,0.00000000,0.07632730,5.22743686,0.04668045,0.00013258,0.00300000
2,1,MS,2,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000001,1.85735227,0.00000000,1.54311174,0.23699577,1.76824215,0.07778887,0.00000000,0.00000000,0.00002420,NA,NA,0.00000000,0.00000000,0.00005132,0.09819660,0.00000000,0.00000001,0.00000000,0.00000564,2.33027032,0.00000000,0.00000000,26.54516922,0.00000000,0.00000000,6.26400000,0.00330000,160.69615137,1.17158626,NA,0.47289156,0.00000000,0.00000001,0.00024107,0.00000000,NA,False,False,0.09200000,0.00483764,4887.08249005,0.00483764,1.00000000,0.00000000,23.64501153,0,0.00000000,0.00000000,14.44564897,0.09824792,0.00000000,0.00255729
2,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.59405064,3.18719122,0.00000000,0.53474169,0.02059988,0.70022716,0.03053041,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000958,0.01759685,0.00000000,0.00000002,0.00000000,0.00000900,1.67339071,0.00000000,0.00000000,4.94552215,0.00000000,0.00000000,6.26400000,NA,160.69615137,0.31146754,NA,0.07723413,0.00000000,6.69616910,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.81976889,0,0.00000000,0.00000000,6.24689613,0.01760643,0.00000000,0.00300000
