t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88152510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.03582821,NA,NA
8,1,MS,roots,0.01714507,0.00000000,0.00052697,0.00065772,0.00008400,0.97899740,0.00000000,0.00017459,NA,0.06934861,0.07489952,NA,NA,NA,0.05206955,0.59207636,1.00417025,NA,0.89106869,NA,NA,14.55237374,0.00000000,-59.85317678,0.18866378,NA,2.08148180,8.82309423,0.00004801,0.03487910,23.14792706,NA,0.00000000,0.00000159,0.00000000,NA,NA,115.52282963,1.71930745,0.19631768
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83917183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.69367115,NA,NA
9,1,MS,roots,0.01687269,0.00000000,0.00055052,0.00068581,0.00008731,0.97415356,0.00000000,0.00017483,NA,0.06903882,0.07260500,NA,NA,NA,0.05143004,0.58267018,0.99833226,NA,0.88459757,NA,NA,14.58671459,0.00000000,-45.96393140,0.18288414,NA,2.09894996,8.85392901,0.00004724,0.03492634,23.29649514,NA,0.00000000,0.00000165,0.00000000,NA,NA,111.33323269,1.69199320,0.19307387
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78828561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.99504635,NA,NA
10,1,MS,roots,0.01666705,0.00000000,0.00056731,0.00070523,0.00008952,0.97112320,0.00000000,0.00017506,NA,0.06885569,0.07061686,NA,NA,NA,0.05089801,0.57556892,0.99435550,NA,0.87948458,NA,NA,14.62094251,0.00000000,-34.45361070,0.17787623,NA,2.11651082,8.88462131,0.00004667,0.03497301,23.43994156,NA,0.00000000,0.00000168,0.00000000,NA,NA,107.57488951,1.67137213,0.19037057
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73301416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.85910894,NA,NA
11,1,MS,roots,0.01652888,0.00000000,0.00056152,0.00069641,0.00008816,0.96995991,0.00000000,0.00017529,NA,0.06880304,0.06890317,NA,NA,NA,0.05046966,0.57079738,0.99228196,NA,0.87578010,NA,NA,14.65514619,0.00000000,-24.85820107,0.17355962,NA,2.13418562,8.91522277,0.00004628,0.03501929,23.57894531,NA,0.00000000,0.00000165,0.00000000,NA,NA,104.17198904,1.65751624,0.18817587
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67258913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.21468298,NA,NA
12,1,MS,roots,0.01628212,0.00000000,0.00120037,0.00148488,0.00018752,0.96588999,0.00000000,0.00017552,NA,0.06853871,0.06709931,NA,NA,NA,0.04993658,0.56227579,0.98718456,NA,0.86914240,NA,NA,14.68857468,0.00000000,-17.65828977,0.16901589,NA,2.15133199,8.94552922,0.00004559,0.03506488,23.71261639,NA,0.00000000,0.00000350,0.00000000,NA,NA,101.05681553,1.63277075,0.18557460
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60962658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.44621120,NA,NA
13,1,MS,roots,0.01592340,0.00000000,0.00245746,0.00303210,0.00038205,0.95880093,0.00000000,0.00017574,NA,0.06805287,0.06520143,NA,NA,NA,0.04929248,0.54988824,0.97894225,NA,0.85950821,NA,NA,14.72049813,0.00000000,-11.84463591,0.16423535,NA,2.16733204,8.97533876,0.00004459,0.03510947,23.84008559,NA,0.00000000,0.00000710,0.00000000,NA,NA,98.19724630,1.59679902,0.18254679
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54589486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.57451537,NA,NA
14,1,MS,roots,0.01563235,0.00000000,0.00247951,0.00305246,0.00038383,0.95356192,0.00000000,0.00017596,NA,0.06769469,0.06353053,NA,NA,NA,0.04873854,0.53983729,0.97257731,NA,0.85131274,NA,NA,14.75221630,0.00000000,-6.93102877,0.16002652,NA,2.18341785,9.00489302,0.00004377,0.03515324,23.96340837,NA,0.00000000,0.00000711,0.00000000,NA,NA,95.55237312,1.56761246,0.17996376
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47769844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.60107910,NA,NA
15,1,MS,roots,0.01546125,0.00000000,0.00260672,0.00320147,0.00040182,0.95168486,0.00000000,0.00017618,NA,0.06757009,0.06215747,NA,NA,NA,0.04833420,0.53392844,0.96959310,NA,0.84584176,NA,NA,14.78374227,0.00000000,-2.86299162,0.15656794,NA,2.19948258,9.03427063,0.00004329,0.03519653,24.08310536,NA,0.00000000,0.00000742,0.00000000,NA,NA,93.07561309,1.55045397,0.17806177
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.40626958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.53360766,NA,NA
16,1,MS,roots,0.01544182,0.13827940,0.00337786,0.00413858,0.00051854,0.95423203,0.00337715,0.00017640,NA,0.06775089,0.06111739,NA,NA,NA,0.04811264,0.53325747,0.97099463,NA,0.84390495,NA,NA,14.81538612,0.02604184,0.69139701,0.15394808,NA,2.21568461,9.06349698,0.00004324,0.03523976,24.19908586,NA,0.00000000,0.00000955,0.00000000,NA,NA,90.72255555,1.54850556,0.17698092
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32981378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.37929487,NA,NA
