t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
33,1,MS,roots,0.01622405,5.99829333,0.01317123,0.01372349,0.00169736,1.12877696,0.28758606,0.00018035,NA,0.07786819,0.05050063,NA,NA,NA,0.04803288,0.56027063,1.09148704,NA,0.79686158,NA,NA,15.67875596,0.99891916,29.99146667,0.12720562,NA,2.79647067,9.55781161,0.00004543,0.03603100,25.81172803,NA,0.00000000,0.00002962,0.00000000,NA,NA,58.32706620,1.62694802,0.17640170
34,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86924828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.13351769,NA,NA
34,1,MS,roots,0.01566221,5.88949633,0.01660073,0.01712106,0.00211748,1.12201552,0.29341763,0.00018057,NA,0.07711207,0.04905064,NA,NA,NA,0.04726749,0.54086848,1.07957447,NA,0.77238731,NA,NA,15.72591142,0.98110881,29.44748166,0.12355326,NA,2.82796392,9.58345531,0.00004385,0.03607485,25.87897517,NA,0.00000000,0.00003685,0.00000000,NA,NA,56.76306160,1.57060688,0.17343020
35,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79733539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.90560470,NA,NA
35,1,MS,roots,0.01493576,5.77961750,0.01457854,0.01490200,0.00184317,1.10729570,0.29905003,0.00018078,NA,0.07581931,0.04733037,NA,NA,NA,0.04623964,0.51578145,1.06024665,NA,0.74285224,NA,NA,15.77362138,0.96339184,28.89808750,0.11922009,NA,2.86073812,9.60833609,0.00004182,0.03611667,25.94476246,NA,0.00000000,0.00003199,0.00000000,NA,NA,55.28831527,1.49775765,0.16938933
36,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72660918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.68738690,NA,NA
36,1,MS,roots,0.01466872,5.66326782,0.01038140,0.01051521,0.00130066,1.11300360,0.30477662,0.00018099,NA,0.07592349,0.04649945,NA,NA,NA,0.04591449,0.50655995,1.06049750,NA,0.72646310,NA,NA,15.82473399,0.94481510,28.31633910,0.11712707,NA,2.89718200,9.63319380,0.00004107,0.03615775,26.01279883,NA,0.00000000,0.00002252,0.00000000,NA,NA,53.83456854,1.47097968,0.16833743
37,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66221975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.47501632,NA,NA
37,1,MS,roots,0.01445313,5.54402210,0.01870310,0.01875229,0.00231944,1.12241817,0.30949600,0.00018119,NA,0.07623376,0.04581042,NA,NA,NA,0.04569155,0.49911459,1.06364080,NA,0.71102894,NA,NA,15.86688846,0.92730871,27.72011050,0.11539148,NA,2.92488335,9.65650115,0.00004047,0.03619821,26.07069390,NA,0.00000000,0.00004005,0.00000000,NA,NA,52.39362690,1.44935939,0.16773572
38,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60624455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.30780652,NA,NA
38,1,MS,roots,0.01390821,5.37634214,0.02550286,0.02537818,0.00313960,1.11664841,0.31042305,0.00018138,NA,0.07548493,0.04453082,NA,NA,NA,0.04492634,0.48029699,1.05206105,NA,0.68547143,NA,NA,15.90097714,0.90340140,26.88171071,0.11216830,NA,2.94506382,9.67809133,0.00003894,0.03623716,26.11911599,NA,0.00000000,0.00005408,0.00000000,NA,NA,51.00674985,1.39471570,0.16494208
39,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55473736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.24012127,NA,NA
39,1,MS,roots,0.01293911,5.14863886,0.01786246,0.01767970,0.00218803,1.08840914,0.30767240,0.00018156,NA,0.07325837,0.04245919,NA,NA,NA,0.04345042,0.44683073,1.02000889,NA,0.64774780,NA,NA,15.94048392,0.86953810,25.74319432,0.10695010,NA,2.97163148,9.69929180,0.00003623,0.03627339,26.17116447,NA,0.00000000,0.00003760,0.00000000,NA,NA,49.72775346,1.29753433,0.15916798
40,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.50343476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.18480021,NA,NA
40,1,MS,roots,0.01230380,5.09792019,0.02127980,0.02091005,0.00258832,1.07536667,0.31453376,0.00018174,NA,0.07206363,0.04107168,NA,NA,NA,0.04252528,0.42489108,1.00242191,NA,0.62031640,NA,NA,15.97558340,0.86544873,25.48960094,0.10345511,NA,2.99442717,9.71911684,0.00003445,0.03630784,26.21708389,NA,0.00000000,0.00004439,0.00000000,NA,NA,48.53326648,1.23382464,0.15566058
41,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45749308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.36473663,NA,NA
41,1,MS,roots,0.01197961,4.91768400,0.02064035,0.02015979,0.00249617,1.07733417,0.31330097,0.00018190,NA,0.07186806,0.04027609,NA,NA,NA,0.04207631,0.41369579,0.99877877,NA,0.60138725,NA,NA,16.01031524,0.83869691,24.58841999,0.10145110,NA,3.01717939,9.73836893,0.00003354,0.03634138,26.26185967,NA,0.00000000,0.00004272,0.00000000,NA,NA,47.35872679,1.20131508,0.15422045
42,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41385249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.39962855,NA,NA
42,1,MS,roots,0.01155297,4.68911880,0.01326950,0.01288257,0.00159555,1.07368032,0.30911711,0.00018207,NA,0.07130811,0.03928751,NA,NA,NA,0.04145500,0.39896271,0.99011559,NA,0.57934348,NA,NA,16.05109796,0.80523238,23.44559400,0.09896099,NA,3.04640915,9.75774229,0.00003235,0.03637373,26.31172830,NA,0.00000000,0.00002725,0.00000000,NA,NA,46.21217701,1.15853224,0.15205061
43,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37489812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.48870577,NA,NA
43,1,MS,roots,0.01108414,4.48373287,0.01502484,0.01447144,0.00179250,1.06750392,0.30549512,0.00018222,NA,0.07057337,0.03823747,NA,NA,NA,0.04077552,0.38277234,0.97907840,NA,0.55614148,NA,NA,16.08883821,0.77609716,22.41866433,0.09631603,NA,3.07306525,9.77609708,0.00003104,0.03640476,26.35774574,NA,0.00000000,0.00003056,0.00000000,NA,NA,45.10318717,1.11151766,0.14958636
44,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33927003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.64780342,NA,NA
44,1,MS,roots,0.01042025,4.29528093,0.01467542,0.01403329,0.00173845,1.04950426,0.30210560,0.00018237,NA,0.06907139,0.03682853,NA,NA,NA,0.03974860,0.35984585,0.95747372,NA,0.52795481,NA,NA,16.12534772,0.74978736,21.47640464,0.09276709,NA,3.09915451,9.79350020,0.00002918,0.03643394,26.40142292,NA,0.00000000,0.00002958,0.00000000,NA,NA,44.06319973,1.04494233,0.14564853
45,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48465927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.84547411,NA,NA
45,1,MS,roots,0.00957358,4.83292630,0.07319265,0.06949486,0.00861013,1.02131312,0.34316311,0.00018250,NA,0.06682803,0.03523430,NA,NA,NA,0.03844572,0.33060778,0.92569493,NA,0.49754524,NA,NA,16.10498399,0.86948314,24.16463152,0.08875138,NA,3.06921720,9.80292052,0.00002681,0.03646075,26.38663801,NA,0.00000000,0.00014624,0.00000000,NA,NA,43.22521832,0.96003904,0.14050804
46,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63510574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.97018755,NA,NA
46,1,MS,roots,0.00912734,6.03596420,0.14651070,0.14037078,0.01741785,1.01474265,0.42066532,0.00018263,NA,0.06591492,0.03457206,NA,NA,NA,0.03772505,0.31519744,0.91240709,NA,0.48094853,NA,NA,16.01573878,1.08652705,30.17982101,0.08708327,NA,2.97084466,9.80289099,0.00002556,0.03648630,26.29955717,NA,0.00000000,0.00029554,0.00000000,NA,NA,42.62750293,0.91528955,0.13821202
47,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78732903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.12861326,NA,NA
47,1,MS,roots,0.00923548,7.25263533,0.14834241,0.14636711,0.01822199,1.03723834,0.49444314,0.00018276,NA,0.06692693,0.03500625,NA,NA,NA,0.03779868,0.31893177,0.92575943,NA,0.48070847,NA,NA,15.93043485,1.30640534,36.26317666,0.08817696,NA,2.87630525,9.80201206,0.00002586,0.03651216,26.20693831,NA,0.00000000,0.00030919,0.00000000,NA,NA,42.19047907,0.92613353,0.13973186
48,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04970489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.75763213,NA,NA
48,1,MS,roots,0.00952547,9.10405545,0.24303462,0.24685821,0.03083848,1.07329524,0.58485585,0.00018289,NA,0.06862410,0.03604546,NA,NA,NA,0.03826809,0.32894606,0.94854249,NA,0.48848060,NA,NA,15.76051456,1.66438814,45.52027726,0.09079462,NA,2.69685949,9.78868579,0.00002667,0.03653883,26.01509680,NA,0.00000000,0.00052331,0.00000000,NA,NA,41.98018735,0.95521364,0.14293766
49,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26916627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.45293975,NA,NA
49,1,MS,roots,0.00989992,10.57215438,0.20375250,0.21919202,0.02754674,1.11071818,0.64691959,0.00018303,NA,0.07051287,0.03723873,NA,NA,NA,0.03866088,0.34187738,0.97391071,NA,0.49997059,NA,NA,15.63921275,1.95466157,52.86077191,0.09380033,NA,2.56565776,9.77900994,0.00002772,0.03656655,25.85282819,NA,0.00000000,0.00046809,0.00000000,NA,NA,41.92875002,0.99276439,0.14641247
50,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39472353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.30524857,NA,NA
50,1,MS,roots,0.01004639,11.34714871,0.13939125,0.15667736,0.01979427,1.12767246,0.67695231,0.00018317,NA,0.07128532,0.03781380,NA,NA,NA,0.03868844,0.34693538,0.98382282,NA,0.50505677,NA,NA,15.58743853,2.10758111,56.73574355,0.09524887,NA,2.50383714,9.77725501,0.00002813,0.03659468,25.75415247,NA,0.00000000,0.00033669,0.00000000,NA,NA,41.96959234,1.00745211,0.14778756
51,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46308878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.75276076,NA,NA
51,1,MS,roots,0.00997325,11.60019987,0.10652264,0.12222891,0.01549852,1.12622961,0.68309782,0.00018331,NA,0.07100244,0.03781024,NA,NA,NA,0.03843176,0.34440966,0.97917154,NA,0.50351634,NA,NA,15.57032966,2.16165045,58.00099933,0.09523990,NA,2.47675503,9.77974725,0.00002793,0.03662261,25.69009432,NA,0.00000000,0.00026367,0.00000000,NA,NA,42.05964748,1.00011778,0.14724444
52,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42748553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.16720748,NA,NA
52,1,MS,roots,0.00986500,10.62930446,0.03223382,0.03729797,0.00474235,1.11785186,0.63745194,0.00018345,NA,0.07045219,0.03747814,NA,NA,NA,0.03809669,0.34067124,0.97085101,NA,0.49816384,NA,NA,15.62372891,2.00828767,53.14652229,0.09440337,NA,2.52028928,9.79290923,0.00002762,0.03665023,25.71077257,NA,0.00000000,0.00008066,0.00000000,NA,NA,42.02500686,0.98926194,0.14602701
53,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36140544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.44889874,NA,NA
53,1,MS,roots,0.00942711,9.57028685,0.01968834,0.02240056,0.00284972,1.08992359,0.58723235,0.00018358,NA,0.06867193,0.03642696,NA,NA,NA,0.03735419,0.32554963,0.94563746,NA,0.48281243,NA,NA,15.68394415,1.82351694,47.85143427,0.09175557,NA,2.57107740,9.80745994,0.00002640,0.03667663,25.74473157,NA,0.00000000,0.00004840,0.00000000,NA,NA,41.90155460,0.94535088,0.14245308
54,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29114926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.92441640,NA,NA
54,1,MS,roots,0.00887510,8.72596323,0.01569494,0.01752234,0.00222950,1.05678950,0.54803458,0.00018370,NA,0.06655935,0.03517990,NA,NA,NA,0.03646138,0.30648663,0.91592588,NA,0.46469912,NA,NA,15.74304850,1.67275434,43.62981617,0.08861435,NA,2.62130666,9.82201435,0.00002485,0.03670148,25.78158847,NA,0.00000000,0.00003781,0.00000000,NA,NA,41.73719421,0.88999459,0.13820062
55,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22197429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.70909362,NA,NA
55,1,MS,roots,0.00850556,8.04920316,0.00939063,0.01029569,0.00131007,1.03627813,0.51830609,0.00018382,NA,0.06524211,0.03432971,NA,NA,NA,0.03590387,0.29372539,0.89721706,NA,0.45167045,NA,NA,15.80438602,1.54880182,40.24601579,0.08647282,NA,2.67413862,9.83704818,0.00002382,0.03672529,25.82427186,NA,0.00000000,0.00002219,0.00000000,NA,NA,41.52890606,0.85293771,0.13547569
56,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15032589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.46364796,NA,NA
56,1,MS,roots,0.00813673,7.60741800,0.01075671,0.01157723,0.00147295,1.01677829,0.50145134,0.00018394,NA,0.06398112,0.03351340,NA,NA,NA,0.03537133,0.28098845,0.87933038,NA,0.43905109,NA,NA,15.86143133,1.46902066,38.03709001,0.08441662,NA,2.72304719,9.85148297,0.00002278,0.03674808,25.86429480,NA,0.00000000,0.00002491,0.00000000,NA,NA,41.31080469,0.81595140,0.13286585
57,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08127171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.32878460,NA,NA
57,1,MS,roots,0.00789375,7.14919610,0.01195686,0.01265554,0.00161001,1.00540102,0.48197980,0.00018405,NA,0.06321668,0.03294894,NA,NA,NA,0.03504079,0.27259745,0.86830196,NA,0.42950410,NA,NA,15.91454349,1.38508253,35.74598048,0.08299481,NA,2.76826561,9.86545600,0.00002210,0.03677018,25.90224340,NA,0.00000000,0.00002718,0.00000000,NA,NA,41.06162513,0.79158509,0.13120642
58,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01566384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.28765140,NA,NA
58,1,MS,roots,0.00771097,6.71733070,0.01217148,0.01268942,0.00161424,0.99829587,0.46307465,0.00018416,NA,0.06270641,0.03250326,NA,NA,NA,0.03480294,0.26628562,0.86078771,NA,0.42122767,NA,NA,15.96498639,1.30579704,33.58665352,0.08187220,NA,2.81099753,9.87914487,0.00002159,0.03679177,25.93933110,NA,0.00000000,0.00002722,0.00000000,NA,NA,40.77614662,0.77325642,0.13001261
59,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95551672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.29934464,NA,NA
59,1,MS,roots,0.00759469,6.22277477,0.00913544,0.00939205,0.00119472,0.99585827,0.43926773,0.00018426,NA,0.06247446,0.03217345,NA,NA,NA,0.03466492,0.26227009,0.85710837,NA,0.41403844,NA,NA,16.01591212,1.21492837,31.11387383,0.08104144,NA,2.85432857,9.89301493,0.00002127,0.03681303,25.97904958,NA,0.00000000,0.00002012,0.00000000,NA,NA,40.43512095,0.76159589,0.12931284
60,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89968032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.35957781,NA,NA
60,1,MS,roots,0.00748162,5.79214527,0.00701625,0.00711413,0.00090484,0.99453619,0.41910039,0.00018437,NA,0.06229740,0.03184833,NA,NA,NA,0.03453527,0.25836529,0.85419306,NA,0.40652521,NA,NA,16.06675416,1.13665514,28.96072636,0.08022249,NA,2.89768899,9.90692183,0.00002095,0.03683398,26.02035623,NA,0.00000000,0.00001521,0.00000000,NA,NA,40.04729190,0.75025690,0.12868099
61,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84738504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.52529415,NA,NA
61,1,MS,roots,0.00729937,5.44078346,0.00611312,0.00611473,0.00077759,0.98955931,0.40360979,0.00018447,NA,0.06188117,0.03139073,NA,NA,NA,0.03428753,0.25207158,0.84801538,NA,0.39710848,NA,NA,16.11654172,1.07319794,27.20391731,0.07906984,NA,2.94017718,9.92062985,0.00002044,0.03685442,26.06175142,NA,0.00000000,0.00001306,0.00000000,NA,NA,39.63448790,0.73198083,0.12755942
62,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79774106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.72749290,NA,NA
62,1,MS,roots,0.00707084,5.12746624,0.00612558,0.00604757,0.00076889,0.98192865,0.38983719,0.00018457,NA,0.06129172,0.03084410,NA,NA,NA,0.03395409,0.24417969,0.83948666,NA,0.38647141,NA,NA,16.16447451,1.01709491,25.63733120,0.07769295,NA,2.98103913,9.93397377,0.00001980,0.03687422,26.10216185,NA,0.00000000,0.00001289,0.00000000,NA,NA,39.20913154,0.70906389,0.12608991
63,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75012242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.99469315,NA,NA
63,1,MS,roots,0.00682183,4.85247207,0.00529348,0.00516181,0.00065614,0.97299699,0.37804877,0.00018466,NA,0.06061930,0.03025902,NA,NA,NA,0.03357733,0.23558056,0.82984686,NA,0.37536655,NA,NA,16.21153940,0.96799956,24.26236037,0.07621920,NA,3.02128219,9.94703846,0.00001910,0.03689332,26.14234862,NA,0.00000000,0.00001099,0.00000000,NA,NA,38.77988403,0.68409319,0.12445564
64,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70398485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.31534049,NA,NA
64,1,MS,roots,0.00660034,4.60963078,0.00447627,0.00431297,0.00054812,0.96576002,0.36796256,0.00018476,NA,0.06005077,0.02972932,NA,NA,NA,0.03324378,0.22793179,0.82165240,NA,0.36496900,NA,NA,16.25792520,0.92476518,23.04815388,0.07488494,NA,3.06106765,9.95984336,0.00001848,0.03691180,26.18235858,NA,0.00000000,0.00000917,0.00000000,NA,NA,38.34735676,0.66188224,0.12302387
65,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66052092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.68644802,NA,NA
65,1,MS,roots,0.00641619,4.36127424,0.00447814,0.00426484,0.00054187,0.96095054,0.35663328,0.00018485,NA,0.05962666,0.02927136,NA,NA,NA,0.03296951,0.22157234,0.81545257,NA,0.35538960,NA,NA,16.30288021,0.88020514,21.80637118,0.07373138,NA,3.09960647,9.97231654,0.00001797,0.03692977,26.22149828,NA,0.00000000,0.00000905,0.00000000,NA,NA,37.90513861,0.64341528,0.12186753
66,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61832322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.09653112,NA,NA
66,1,MS,roots,0.00623247,4.16272300,0.00457138,0.00430557,0.00054691,0.95625162,0.34859736,0.00018493,NA,0.05920517,0.02881789,NA,NA,NA,0.03269171,0.21522783,0.80930583,NA,0.34586129,NA,NA,16.34654576,0.84526732,20.81361501,0.07258914,NA,3.13703955,9.98444627,0.00001745,0.03694722,26.25968423,NA,0.00000000,0.00000912,0.00000000,NA,NA,37.46048614,0.62499171,0.12071477
67,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57956179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.55760331,NA,NA
67,1,MS,roots,0.00602668,3.93579790,0.00544376,0.00507296,0.00064423,0.94998178,0.33734977,0.00018502,NA,0.05868040,0.02831812,NA,NA,NA,0.03236305,0.20812139,0.80176629,NA,0.33576883,NA,NA,16.38799297,0.80452361,19.67898948,0.07133028,NA,3.17246008,9.99612029,0.00001687,0.03696409,26.29612739,NA,0.00000000,0.00001073,0.00000000,NA,NA,37.01251043,0.60435560,0.11936157
68,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54245211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.06144136,NA,NA
68,1,MS,roots,0.00580578,3.75392595,0.00551147,0.00508530,0.00064566,0.94254557,0.32918456,0.00018510,NA,0.05808326,0.02779152,NA,NA,NA,0.03199915,0.20049293,0.79325856,NA,0.32546054,NA,NA,16.42820111,0.77259355,18.76962973,0.07000383,NA,3.20686244,10.00742422,0.00001626,0.03698035,26.33154826,NA,0.00000000,0.00001074,0.00000000,NA,NA,36.57013550,0.58220360,0.11787393
69,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57598880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.02691429,NA,NA
69,1,MS,roots,0.00558776,3.65437724,0.01043192,0.00953400,0.00121023,0.93515668,0.32718746,0.00018518,NA,0.05748468,0.02728233,NA,NA,NA,0.03163822,0.19296412,0.78475167,NA,0.31552345,NA,NA,16.46310806,0.76846327,18.27188622,0.06872123,NA,3.23618163,10.01780589,0.00001565,0.03699599,26.36154503,NA,0.00000000,0.00002012,0.00000000,NA,NA,36.14511572,0.56034099,0.11640523
70,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56513102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.86836952,NA,NA
70,1,MS,roots,0.00542070,3.70392163,0.01563746,0.01417717,0.00179944,0.93108062,0.33776111,0.00018525,NA,0.05709125,0.02689405,NA,NA,NA,0.03136986,0.18719469,0.77906112,NA,0.30727680,NA,NA,16.49256713,0.77796746,18.51960815,0.06774321,NA,3.26022000,10.02729728,0.00001518,0.03701117,26.38611181,NA,0.00000000,0.00002988,0.00000000,NA,NA,35.75189360,0.54358737,0.11535517
71,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56488234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.05015089,NA,NA
